run_id,request_id,stimulus_id,baseline_id,source_dataset,annotation_perspective,model_provider,model_id,condition,repetition,temperature,top_p,seed,system_prompt_id,system_prompt_hash,prompt_id,prompt_hash,code_commit,config_hash,request_timestamp_utc,latency_ms,raw_response_text,response_timestamp_utc,parsed_valence,parsed_arousal,parse_status,failure_reason,attempt_history,baseline_V,baseline_A,delta_V,delta_A,R,id,split,V,A,D,text,V_scaled,A_scaled,v_cell,a_cell,ADA,ADA_excluded_reason,Euclidean_Distance_to_Human
20260824T140014Z_dryrun,26e25b62-29e5-4a61-b28f-73678ab708fa,emobank_audubon1_7168_7287,baseline_gpt-4o_rep01_block0,EmoBank,reader,dummy,gpt-4o,post_reported_va,1,0.0,1.0,42,system_v1,b0a252a7475fe37e14227254d199e4327164cab8660532dbf44ec358ac15ec94,affective_reception_v1,7cfd8fd9fd57a77eba5151ab200b2d8e1cd26599ae047252d9a68e2395ee090a,6ba25f1,68db600db7e6d445ab7bc4afbb265c22f5d87a907d1020cbd5102ce079c64cd1,2026-08-24T14:00:14.688215+00:00,120,"{""valence"": 7, ""arousal"": 4}",2026-08-24T14:00:14.688223+00:00,0.5,-0.25,success,,"[{'attempt_no': 1, 'status': 'success'}]",0.0,0.0,0.5,-0.25,0.5590169943749475,audubon1_7168_7287,train,2.7,3.8,3.0,"First,sign and return your Petition to the Secretary of Agriculture immediately, to declare a firm and resounding “NO!”",-0.1499999999999999,0.3999999999999999,1,2,-0.732793491626299,,0.9192388155425116
20260824T140014Z_dryrun,82103e6e-1db4-4ce5-9c0d-ca5682dc82b9,emobank_detroit_16391_16421,baseline_gpt-4o_rep01_block0,EmoBank,reader,dummy,gpt-4o,post_reported_va,1,0.0,1.0,42,system_v1,b0a252a7475fe37e14227254d199e4327164cab8660532dbf44ec358ac15ec94,affective_reception_v1,7cfd8fd9fd57a77eba5151ab200b2d8e1cd26599ae047252d9a68e2395ee090a,6ba25f1,68db600db7e6d445ab7bc4afbb265c22f5d87a907d1020cbd5102ce079c64cd1,2026-08-24T14:00:14.688438+00:00,120,"{""valence"": 7, ""arousal"": 4}",2026-08-24T14:00:14.688442+00:00,0.5,-0.25,success,,"[{'attempt_no': 1, 'status': 'success'}]",0.0,0.0,0.5,-0.25,0.5590169943749475,detroit_16391_16421,train,3.91,3.37,3.0,I find this topic fascinating.,0.455,0.185,2,1,0.6601146077286789,,0.43732139211339754
20260824T140014Z_dryrun,ded76d4c-e44f-4a57-969d-a8a4191b1737,emobank_defenders5_31_47,baseline_gpt-4o_rep01_block0,EmoBank,reader,dummy,gpt-4o,post_reported_va,1,0.0,1.0,42,system_v1,b0a252a7475fe37e14227254d199e4327164cab8660532dbf44ec358ac15ec94,affective_reception_v1,7cfd8fd9fd57a77eba5151ab200b2d8e1cd26599ae047252d9a68e2395ee090a,6ba25f1,68db600db7e6d445ab7bc4afbb265c22f5d87a907d1020cbd5102ce079c64cd1,2026-08-24T14:00:14.689416+00:00,120,"{""valence"": 7, ""arousal"": 4}",2026-08-24T14:00:14.689420+00:00,0.5,-0.25,success,,"[{'attempt_no': 1, 'status': 'success'}]",0.0,0.0,0.5,-0.25,0.5590169943749475,defenders5_31_47,test,2.0,3.57,2.71,ALASKA EMERGENCY,-0.5,0.2849999999999999,0,1,-0.9985195471971505,,1.1341186004999653
20260824T140014Z_dryrun,13ca80bc-5f51-4961-b048-d93b4512588a,emobank_captured_moments_22417_22430,baseline_gpt-4o_rep01_block0,EmoBank,reader,dummy,gpt-4o,post_reported_va,1,0.0,1.0,42,system_v1,b0a252a7475fe37e14227254d199e4327164cab8660532dbf44ec358ac15ec94,affective_reception_v1,7cfd8fd9fd57a77eba5151ab200b2d8e1cd26599ae047252d9a68e2395ee090a,6ba25f1,68db600db7e6d445ab7bc4afbb265c22f5d87a907d1020cbd5102ce079c64cd1,2026-08-24T14:00:14.689553+00:00,120,"{""valence"": 7, ""arousal"": 4}",2026-08-24T14:00:14.689557+00:00,0.5,-0.25,success,,"[{'attempt_no': 1, 'status': 'success'}]",0.0,0.0,0.5,-0.25,0.5590169943749475,captured_moments_22417_22430,train,4.1,3.8,3.2,"""I love you.""",0.5499999999999998,0.3999999999999999,2,2,0.4603171644550003,,0.6519202405202648
20260824T140014Z_dryrun,f06828de-0e91-4e4e-8a9e-65f559008d0f,emobank_Nathans_Bylichka_31628_31664,baseline_gpt-4o_rep01_block0,EmoBank,reader,dummy,gpt-4o,post_reported_va,1,0.0,1.0,42,system_v1,b0a252a7475fe37e14227254d199e4327164cab8660532dbf44ec358ac15ec94,affective_reception_v1,7cfd8fd9fd57a77eba5151ab200b2d8e1cd26599ae047252d9a68e2395ee090a,6ba25f1,68db600db7e6d445ab7bc4afbb265c22f5d87a907d1020cbd5102ce079c64cd1,2026-08-24T14:00:14.689709+00:00,120,"{""valence"": 7, ""arousal"": 4}",2026-08-24T14:00:14.689712+00:00,0.5,-0.25,success,,"[{'attempt_no': 1, 'status': 'success'}]",0.0,0.0,0.5,-0.25,0.5590169943749475,Nathans_Bylichka_31628_31664,test,3.0,2.25,2.75,This place is just a little of both.,0.0,-0.375,1,0,0.4472135954999579,,0.5153882032022076
20260824T140014Z_dryrun,7bd472c3-21c1-47a2-ba06-ca25811d2a55,emobank_detroit_16320_16354,baseline_gpt-4o_rep01_block0,EmoBank,reader,dummy,gpt-4o,post_reported_va,1,0.0,1.0,42,system_v1,b0a252a7475fe37e14227254d199e4327164cab8660532dbf44ec358ac15ec94,affective_reception_v1,7cfd8fd9fd57a77eba5151ab200b2d8e1cd26599ae047252d9a68e2395ee090a,6ba25f1,68db600db7e6d445ab7bc4afbb265c22f5d87a907d1020cbd5102ce079c64cd1,2026-08-24T14:00:14.689831+00:00,120,"{""valence"": 7, ""arousal"": 4}",2026-08-24T14:00:14.689834+00:00,0.5,-0.25,success,,"[{'attempt_no': 1, 'status': 'success'}]",0.0,0.0,0.5,-0.25,0.5590169943749475,detroit_16320_16354,train,2.9,3.8,3.2,Don't forget about the back taxes!,-0.05,0.3999999999999999,1,2,-0.5547001962252291,,0.85146931829632
20260824T140014Z_dryrun,00c49201-e0fd-4d92-bc43-ff18260c5942,emobank_cable_spool_fort_116_125,baseline_gpt-4o_rep01_block0,EmoBank,reader,dummy,gpt-4o,post_reported_va,1,0.0,1.0,42,system_v1,b0a252a7475fe37e14227254d199e4327164cab8660532dbf44ec358ac15ec94,affective_reception_v1,7cfd8fd9fd57a77eba5151ab200b2d8e1cd26599ae047252d9a68e2395ee090a,6ba25f1,68db600db7e6d445ab7bc4afbb265c22f5d87a907d1020cbd5102ce079c64cd1,2026-08-24T14:00:14.689951+00:00,120,"{""valence"": 7, ""arousal"": 4}",2026-08-24T14:00:14.689955+00:00,0.5,-0.25,success,,"[{'attempt_no': 1, 'status': 'success'}]",0.0,0.0,0.5,-0.25,0.5590169943749475,cable_spool_fort_116_125,train,1.6,3.9,3.6,You suck.,-0.7,0.4499999999999999,0,2,-0.9942070475658493,,1.3892443989449805
20260824T140014Z_dryrun,65632f0d-902e-4f32-90c1-331bd4188eef,emobank_hotel-california_27718_27751,baseline_gpt-4o_rep01_block0,EmoBank,reader,dummy,gpt-4o,post_reported_va,1,0.0,1.0,42,system_v1,b0a252a7475fe37e14227254d199e4327164cab8660532dbf44ec358ac15ec94,affective_reception_v1,7cfd8fd9fd57a77eba5151ab200b2d8e1cd26599ae047252d9a68e2395ee090a,6ba25f1,68db600db7e6d445ab7bc4afbb265c22f5d87a907d1020cbd5102ce079c64cd1,2026-08-24T14:00:14.690040+00:00,120,"{""valence"": 7, ""arousal"": 4}",2026-08-24T14:00:14.690043+00:00,0.5,-0.25,success,,"[{'attempt_no': 1, 'status': 'success'}]",0.0,0.0,0.5,-0.25,0.5590169943749475,hotel-california_27718_27751,train,2.2,3.6,2.6,I was discouraged and frustrated.,-0.3999999999999999,0.3,0,1,-0.9838699100999075,,1.0547511554864493
20260824T140014Z_dryrun,ec6a08ce-aea1-41d8-8a57-1aaeaa98e5e6,emobank_Nathans_Bylichka_3531_3576,baseline_gpt-4o_rep01_block0,EmoBank,reader,dummy,gpt-4o,post_reported_va,1,0.0,1.0,42,system_v1,b0a252a7475fe37e14227254d199e4327164cab8660532dbf44ec358ac15ec94,affective_reception_v1,7cfd8fd9fd57a77eba5151ab200b2d8e1cd26599ae047252d9a68e2395ee090a,6ba25f1,68db600db7e6d445ab7bc4afbb265c22f5d87a907d1020cbd5102ce079c64cd1,2026-08-24T14:00:14.690213+00:00,120,"{""valence"": 7, ""arousal"": 4}",2026-08-24T14:00:14.690217+00:00,0.5,-0.25,success,,"[{'attempt_no': 1, 'status': 'success'}]",0.0,0.0,0.5,-0.25,0.5590169943749475,Nathans_Bylichka_3531_3576,train,3.8,3.8,3.5,Even the city feels alive when spring comes.”,0.3999999999999999,0.3999999999999999,2,2,0.3162277660168379,,0.6576473218982952
20260824T140014Z_dryrun,53903b62-0a4c-4f05-9697-b6f428e706b3,emobank_WhereToHongKong_59648_59721,baseline_gpt-4o_rep01_block0,EmoBank,reader,dummy,gpt-4o,post_reported_va,1,0.0,1.0,42,system_v1,b0a252a7475fe37e14227254d199e4327164cab8660532dbf44ec358ac15ec94,affective_reception_v1,7cfd8fd9fd57a77eba5151ab200b2d8e1cd26599ae047252d9a68e2395ee090a,6ba25f1,68db600db7e6d445ab7bc4afbb265c22f5d87a907d1020cbd5102ce079c64cd1,2026-08-24T14:00:14.690274+00:00,120,"{""valence"": 7, ""arousal"": 4}",2026-08-24T14:00:14.690277+00:00,0.5,-0.25,success,,"[{'attempt_no': 1, 'status': 'success'}]",0.0,0.0,0.5,-0.25,0.5590169943749475,WhereToHongKong_59648_59721,train,3.0,2.33,2.83,Dr. Sun Yat-sen (1866–1925) began his political career in Canton.,0.0,-0.3349999999999999,1,0,0.4472135954999579,,0.5071735403192875
