id,split,V,A,D,text,V_scaled,A_scaled,v_cell,a_cell,stimulus_id
The_Black_Willow_19934_20143,train,2.2,3.2,2.6,"His handfuls could do nothing to quench the hewn, burning logs, but when the night sky grew dark above him and the fire dwindled to black ashes, tears threatened to spill forth and extinguish the final embers.",-0.3999999999999999,0.10000000000000009,0,1,emobank_The_Black_Willow_19934_20143
SemEval_709,train,2.1,3.2,2.1,Trains crash near Thai resort town,-0.44999999999999996,0.10000000000000009,0,1,emobank_SemEval_709
SemEval_1070,train,2.0,3.14,2.86,Eight US soldiers killed in Zabul helicopter crash,-0.5,0.07000000000000006,0,1,emobank_SemEval_1070
20020731-nyt_18216_18387,test,2.3,3.5,2.8,"""There was death in D.C. throughout the '80s and into the '90s, and there was death everywhere,"" said Starke, who was reared in New Rochelle, N.Y., and played at Columbia.",-0.3500000000000001,0.25,0,1,emobank_20020731-nyt_18216_18387
A_defense_of_Michael_Moore_16580_17247,test,2.3,3.4,3.2,"After the Flint rally comes a brief TV interview with Heston, where he is asked about Kayla Rolland (again, clear evidence that the local media in Flint raised questions about the NRA's presence), then an inteview with country prosecutor Arthur Busch, entirely ignored by critics of the film, who also mentions Heston's presence as notable, and refers to the immediate reactions of ""people from all over America"", gun owners/groups who, according to him, reacted aggressively to warnings of having guns accessible to children, much like spanking advocates react aggressively when anti-spankers point to a case of a child being killed or severely injured by a beating.",-0.3500000000000001,0.19999999999999996,0,1,emobank_A_defense_of_Michael_Moore_16580_17247
Nathans_Bylichka_56635_56672,train,2.3,3.0,2.4,I must have fallen to the floor then.,-0.3500000000000001,0.0,0,1,emobank_Nathans_Bylichka_56635_56672
wsj_2465_2001_2296,test,2.3,3.5,2.3,"A final statement yesterday said: ""While some advances are being made in nations throughout the hemisphere, the state of press freedom in the Americas still must be regarded as grim as long as journalists and their families are subject to the crudest form of censorship: death by assassination.""",-0.3500000000000001,0.25,0,1,emobank_wsj_2465_2001_2296
SemEval_144,train,2.25,3.0,2.5,"Women Face Greatest Threat of Violence at Home, Study Finds",-0.375,0.0,0,1,emobank_SemEval_144
SemEval_1374,train,2.1,3.2,2.9,Sharks kill four people in 'dull' year,-0.44999999999999996,0.10000000000000009,0,1,emobank_SemEval_1374
wsj_0136_174_280,train,2.22,3.0,3.0,The truck maker said the significant drop in net income will result in lower earnings for the fiscal year.,-0.3899999999999999,0.0,0,1,emobank_wsj_0136_174_280
112C-L012_1569_1624,train,2.29,3.29,2.71,"Without private donor support, this Fund doesn't exist.",-0.355,0.14500000000000002,0,1,emobank_112C-L012_1569_1624
112C-L013_653_757,train,2.29,3.29,2.86,"Kids like Tommie J., made a ward of the court because of repeated beatings by an alcoholic father;",-0.355,0.14500000000000002,0,1,emobank_112C-L013_653_757
hsus4_1409_1519,train,2.3,3.1,2.9,"What is even more shocking, is that more than 30 million animals die these cruel, painful deaths each year ...",-0.3500000000000001,0.050000000000000044,0,1,emobank_hsus4_1409_1519
A_defense_of_Michael_Moore_4592_4632,train,2.1,3.1,2.7,Mustafa was 14 years when he was killed.,-0.44999999999999996,0.050000000000000044,0,1,emobank_A_defense_of_Michael_Moore_4592_4632
audubon1_557_754,train,2.2,3.2,2.6,"In fact, the USDA has plans to spread poisoned rice in sunflower fields throughout the northern Great Plains targeting two million migrating blackbirds and threatening nearly 70 other bird species.",-0.3999999999999999,0.10000000000000009,0,1,emobank_audubon1_557_754
Nathans_Bylichka_28416_28420,train,2.29,3.43,4.0,"No,”",-0.355,0.21500000000000008,0,1,emobank_Nathans_Bylichka_28416_28420
SemEval_60,test,2.1,2.9,2.6,Deaths linked to flu vaccine,-0.44999999999999996,-0.050000000000000044,0,1,emobank_SemEval_60
SemEval_949,train,2.3,3.2,3.2,China detains 2 after body parts found in mail,-0.3500000000000001,0.10000000000000009,0,1,emobank_SemEval_949
detroit_14829_14947,dev,2.3,3.0,3.0,"I agree -- Democrats, like country music, have disappointed me too many times in the past for me to keep on listening.",-0.3500000000000001,0.0,0,1,emobank_detroit_14829_14947
Nathans_Bylichka_19092_19222,train,2.2,3.1,2.7,"Walking through an alley with rubbish piles that occasionally skittered from one wall to the other, he did not inspire confidence.",-0.3999999999999999,0.050000000000000044,0,1,emobank_Nathans_Bylichka_19092_19222
detroit_7900_7975,train,2.0,3.2,2.5,"A few weeks ago, someone broke into their shed to steal their garden tools.",-0.5,0.10000000000000009,0,1,emobank_detroit_7900_7975
SemEval_819,train,2.25,3.25,3.37,"Carter was a disaster, said Ford",-0.375,0.125,0,1,emobank_SemEval_819
SemEval_246,train,2.0,3.5,2.33,Sri Lanka clashes kill 129 troops,-0.5,0.25,0,1,emobank_SemEval_246
SemEval_867,train,2.3,3.3,2.8,UK workers on alert for letter bombs,-0.3500000000000001,0.1499999999999999,0,1,emobank_SemEval_867
Fermentation_HR5034_12196_12363,train,2.18,3.27,2.63,"Its a blatant anti-competition bill that will crush the uniqness of the alchohol/wine industry, kinda like Wal Mart moving into a town and crushing the boutique shops.",-0.4099999999999999,0.135,0,1,emobank_Fermentation_HR5034_12196_12363
SemEval_240,train,2.29,2.86,3.0,Griffiths scorns Withnail 'play',-0.355,-0.07000000000000006,0,1,emobank_SemEval_240
easy_money_15382_15465,train,2.0,3.3,2.0,I figure it can't be worse than the lethal injection that's waiting for me at dawn.,-0.5,0.1499999999999999,0,1,emobank_easy_money_15382_15465
IFAW1_1013_1091,train,2.25,3.25,3.0,Can you imagine the baby seal crying out for fear as a sealer raises his club?,-0.375,0.125,0,1,emobank_IFAW1_1013_1091
wildelifewatch1_1328_1440,train,2.0,3.44,2.78,"And with more than 3,000 species facing rapidly disappearing habitat we have never needed members like you more.",-0.5,0.21999999999999997,0,1,emobank_wildelifewatch1_1328_1440
SemEval_142,train,2.1,3.2,2.8,Kurdish Lawmaker Killed in an Attack in Baghdad,-0.44999999999999996,0.10000000000000009,0,1,emobank_SemEval_142
112C-L013_575_652,train,1.9,3.3,2.9,"Families are being torn apart, and too often, children are the victims.",-0.55,0.1499999999999999,0,1,emobank_112C-L013_575_652
Nathans_Bylichka_51042_51220,train,2.3,3.5,2.6,"I slipped past the waving monstrosity that had blocked my view before, a mountain of wet, veined flesh, and had almost passed through the crowd when a clawed hand grabbed my arm.",-0.3500000000000001,0.25,0,1,emobank_Nathans_Bylichka_51042_51220
SemEval_1009,train,2.3,3.2,2.8,Homemade bombs kill 65 on Indian train,-0.3500000000000001,0.10000000000000009,0,1,emobank_SemEval_1009
Nathans_Bylichka_21342_21360,train,2.18,2.91,2.82,The thing frowned.,-0.4099999999999999,-0.04499999999999993,0,1,emobank_Nathans_Bylichka_21342_21360
audubon1_132_395,train,2.14,3.57,3.0,Just imagine finding your favorite hiking trail or birding area littered with dead birds -- among the hundreds of thousands of unsuspecting and innocent creatures who were unlucky enough to consume lethal doses of a slow-acting poison spread in fields miles away.,-0.42999999999999994,0.2849999999999999,0,1,emobank_audubon1_132_395
SemEval_871,train,1.88,2.75,2.88,Human error caused Helios crash,-0.56,-0.125,0,1,emobank_SemEval_871
SemEval_83,train,2.3,3.6,3.5,Hungary police tackle violent protestors,-0.3500000000000001,0.30000000000000004,0,1,emobank_SemEval_83
aspca1_284_301,test,2.0,3.25,2.38,So empty it hurt.,-0.5,0.125,0,1,emobank_aspca1_284_301
20020731-nyt_18388_18744,test,2.14,3.57,3.14,"""It wasn't like New York's or Boston's organized crime. It was kids shooting kids. It was a 14-year-old from R Street who got his crew of six together and ran their drug block killing another 14-year-old and his crew from a block away. And from the beginning I could see that it was all about jobs. I could see that you needed the private sector involved.""",-0.42999999999999994,0.2849999999999999,0,1,emobank_20020731-nyt_18388_18744
SemEval_788,train,2.3,3.2,2.7,"As inflation soars, Zimbabwe economy plunges",-0.3500000000000001,0.10000000000000009,0,1,emobank_SemEval_788
detroit_406_500,train,2.2,3.3,2.8,"Detroit, already plagued by corruption and crime, saw its unemployment rate skyrocket in 2009.",-0.3999999999999999,0.1499999999999999,0,1,emobank_detroit_406_500
The_Black_Willow_7628_7791,train,2.3,2.8,2.4,"His hair was slightly unkempt after his sleepless night, and his clothing had a rumpled look as if, by mere proximity, it had taken on the aspect of his weariness.",-0.3500000000000001,-0.10000000000000009,0,1,emobank_The_Black_Willow_7628_7791
20020731-nyt_39798_39852,train,2.33,3.33,2.89,A second jury sentenced Nelson to death in March 2001.,-0.33499999999999996,0.16500000000000004,0,1,emobank_20020731-nyt_39798_39852
captured_moments_6533_6551,train,2.29,3.43,3.14,"""Thoroughly ugly,""",-0.355,0.21500000000000008,0,1,emobank_captured_moments_6533_6551
captured_moments_21987_21998,train,2.0,2.9,2.3,"""I'm sorry.",-0.5,-0.050000000000000044,0,1,emobank_captured_moments_21987_21998
Seedbombing_2063_2206,train,2.3,3.2,2.7,"I found this hard to do while also avoiding cops, dealing with the camera and the car window, scoping out angles of approach for throwing, etc.",-0.3500000000000001,0.10000000000000009,0,1,emobank_Seedbombing_2063_2206
